"A","2025-07-30",,"348500",,830.00,2.00,2.00,"Apartment","1410","1","Street","SE","210"
"S","2024-08-08","2024-11-27","325000","300000",902.00,2.00,1.00,"Apartment","1123","13","Avenue","SW","508"
"S","2024-08-15","2025-01-16","300000","297500",804.00,2.00,2.00,"Apartment","12","Sage Hill","Terrace","NW","2"
"S","2024-08-08","2024-11-26","345000","337000",686.00,2.00,2.00,"Apartment","138","Sage Valley","Common","NW","505"
"S","2024-08-12","2024-12-27","364900","371000",833.00,2.00,2.00,"Apartment","40","Carrington","Plaza","NW","208"
"S","2024-09-05","2024-12-06","549900","537500",884.00,2.00,2.00,"Apartment","310","12","Avenue","SW","708"
"S","2024-08-14","2024-12-04","275000","275000",491.00,1.00,1.00,"Apartment","910","Centre","Avenue","NE","437"
"S","2024-08-29","2024-11-21","499900","460000",1042.00,2.00,2.00,"Apartment","510","6","Avenue","SE","1002"
"S","2024-08-14","2024-11-22","375000","360000",702.00,2.00,2.00,"Apartment","200","Seton","Circle","SE","5204"
"S","2024-08-14","2025-02-25","364500","356500",670.00,2.00,2.00,"Apartment","3830","brentwood","Road","NW","808"
"S","2024-09-01","2024-12-01","344900","340000",851.00,2.00,2.00,"Apartment","5500","Somervale","Court","SW","308"
"S","2024-09-07","2024-11-26","334900","320000",811.00,2.00,2.00,"Apartment","1111","6","Avenue","SW","608"
"S","2025-02-05","2025-04-23","339000","330000",812.00,2.00,2.00,"Apartment","16","Sage Hill","Terrace","NW","221"
"S","2024-08-16","2025-01-11","229000","225000",626.00,1.00,1.00,"Apartment","60","Panatella","Street","NW","1211"
"S","2024-08-20","2024-11-25","399900","395000",957.00,2.00,2.00,"Apartment","55","Lucas","Way","NW","2109"
"S","2024-10-12","2024-11-21","347500","336000",1020.00,2.00,3.00,"Apartment","270","Shawville","Way","SE","411"
"S","2024-08-18","2024-11-27","419900","402500",563.00,1.00,1.00,"Apartment","930","16","Avenue","SW","2504"
"S","2024-08-20","2025-01-21","409900","409900",1019.00,2.00,2.00,"Apartment","55","Lucas","Way","NW","2107"
"S","2024-11-13","2025-02-08","299990","283000",576.00,1.00,2.00,"Apartment","605","17","Avenue","NW","407"
"S","2024-08-26","2025-05-13","349900","334000",670.50,1.00,1.00,"Apartment","222","Riverfront","Avenue","SW","514"
"S","2024-08-30","2024-12-06","219900","210000",656.00,1.00,1.00,"Apartment","723","57","Avenue","SW","305"
"S","2024-08-22","2024-11-22","404900","390000",638.00,1.00,2.00,"Apartment","1501","6","Street","SW","704"
"S","2024-08-21","2024-12-29","419900","422877",990.00,2.00,2.00,"Apartment","50","Sage Hill","Walk","NW","101"
"S","2024-08-31","2025-01-23","965000","935000",990.00,2.00,2.00,"Apartment","738","1","Avenue","SW","906"
"S","2024-08-30","2025-05-27","1889900","1889900",1934.39,2.00,2.00,"Apartment","190","Marina","Cove","SE","201"
"S","2024-09-06","2024-12-17","389900","380000",841.00,2.00,2.00,"Apartment","40","Carrington","Plaza","NW","406"
"S","2024-09-05","2024-11-27","259900","250000",582.00,1.00,1.00,"Apartment","325","3","Street","SE","508"
"S","2024-08-25","2024-12-13","289900","280000",517.00,1.00,1.00,"Apartment","350","LIVINGSTON","Common","NE","2305"
"S","2024-08-26","2024-12-23","220000","175000",368.00,1.00,1.00,"Apartment","215","Legacy","Boulevard","SE","2319"
"S","2024-08-28","2025-01-23","349900","345000",939.00,2.00,2.00,"Apartment","156","Country Village","Circle","NE","401"
